@relation dataset_training

@attribute 'isi pengaduan' string
@attribute 'instansi tujuan' {'Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar','Dinas Perhubungan Kota Denpasar','PDAM Kota Denpasar'}

@data
'mohon bantu tindak ranting batang pohon indang pintu masuk setra badung setra selatan terminal tegal rapuh bahaya ada warga ida anda batang tempel pemiosan ida anda upakara ngaben sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'bakar sisa sisa kain garmen bakar loteng rumah bau ganggu kali lapor ulah garmen etika mohon tindak kait karna garmen bakar sisa kain jalan merpati iv lokasi','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon rompes pohon karna gardu listrik jalan sunia negara pemogan denpasar','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'lingkung jalan gunung karang i depo sampah gunung karang bau sengat jalan kotor sisa buang sampah bersih warga ganggu bau sampah bersih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tugas lapor sewaka dharma tanggal januari perihal mohon bantu teriming pohon letak belah barat lapang sidakarya langkah antisipasi pohon tumbang musim hujan pohon tempel tembok warga khawatir sangangah warga terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'jalan tomo vi banjar semilajati kompleks pulung malam bakar sampah makan asap asap masuk rumah jalan tomo vii malam biar pagi mohon tertib ganggu nafas','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'om swastiastu mohon kait mangkas pohon jalan a a yani utara banjar pulugambang peguyangan denpasar tepat barat dokter hewan ni luh juniathi angin kencang takut roboh kena rumah warga kena kendara kena kabel mohon respons cepat korban jiwa terima kasih perhati om cantih cantih cantih om','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu dinas dlhk potong pohon jalan nusa lembongan rusak jalan bahaya rumah duduk','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu dlhk rompes pohon jalan surapati sd no','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat siang mohon sih sampah pinggir got terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'salah huni jalan nakula timur no lapor pohon posisi jorok jalan menghawatirkan semenjak proyek lebar jalan pohon goyang arah jalan raya pohon tiang listrik tiang telepon kereta lantai kuat tahan pohon miring kait bantu tebang bahaya masyarakat tiang kabel listrik dalam adu alami ganggu perhati kerja sama ucap terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon belah pura manik toya rapuh kayak bangun bale pura genteng porak poranda kena batang pohon rapuh tolong instansi kait tanggap lokasi jalan imam bonjol','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu mangkas pohon teduh jalan rimbun musim hujan angin bahaya pejal kaki guna jalan lokasi jalan bypass ngurah rai sanur peek a boo terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
